"Housing characteristics";"Regions";"Periods";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)";"Average net supply of electricity (kWh)";"District heating (%)"
"Total dwellings";"Noord-Brabant (PV)";"2020";"    1180";"    3020";"";"     5.9"
"Total dwellings";"Noord-Brabant (PV)";"2021";"    1320";"    3060";"    2660";"     5.8"
"Total dwellings";"Noord-Brabant (PV)";"2022*";"    1030";"    2870";"    2340";"     5.6"
"Total dwellings";"Limburg (PV)";"2015";"    1450";"    3170";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2016";"    1510";"    3110";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2017";"    1450";"    3080";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2018";"    1450";"    3000";"";"       ."
"Total dwellings";"Limburg (PV)";"2019";"    1350";"    2900";"";"     1.1"
"Total dwellings";"Limburg (PV)";"2020";"    1270";"    2910";"";"       ."
"Total dwellings";"Limburg (PV)";"2021";"    1430";"    2940";"    2460";"       ."
"Total dwellings";"Limburg (PV)";"2022*";"    1120";"    2800";"    2180";"       ."
"Apartment";"Groningen (PV)";"2015";"    1040";"    1940";"";"       ."
"Apartment";"Groningen (PV)";"2016";"    1080";"    1910";"";"       ."
"Apartment";"Groningen (PV)";"2017";"    1030";"    1900";"";""
"Apartment";"Groningen (PV)";"2018";"    1030";"    1860";"";"       ."
"Apartment";"Groningen (PV)";"2019";"     940";"    1810";"";""
"Apartment";"Groningen (PV)";"2020";"     870";"    1800";"";"       ."
"Apartment";"Groningen (PV)";"2021";"     960";"    1840";"    1800";"       ."
"Apartment";"Groningen (PV)";"2022*";"     770";"    1780";"    1730";"       ."
"Apartment";"Fryslân (PV)";"2015";"     910";"    1790";"";"       ."
"Apartment";"Fryslân (PV)";"2016";"     940";"    1740";"";"       ."
"Apartment";"Fryslân (PV)";"2017";"     910";"    1720";"";""
"Apartment";"Fryslân (PV)";"2018";"     900";"    1700";"";"       ."
"Apartment";"Fryslân (PV)";"2019";"     840";"    1670";"";""
"Apartment";"Fryslân (PV)";"2020";"     810";"    1740";"";"       ."
"Apartment";"Fryslân (PV)";"2021";"     900";"    1800";"    1730";"       ."
"Apartment";"Fryslân (PV)";"2022*";"     720";"    1740";"    1640";"       ."
"Apartment";"Drenthe (PV)";"2015";"     950";"    1990";"";"       ."
"Apartment";"Drenthe (PV)";"2016";"     990";"    1920";"";"       ."
"Apartment";"Drenthe (PV)";"2017";"     950";"    1890";"";""
"Apartment";"Drenthe (PV)";"2018";"     930";"    1860";"";"       ."
"Apartment";"Drenthe (PV)";"2019";"     860";"    1830";"";""
"Apartment";"Drenthe (PV)";"2020";"     840";"    1870";"";"       ."
"Apartment";"Drenthe (PV)";"2021";"     940";"    1910";"    1830";"       ."
"Apartment";"Drenthe (PV)";"2022*";"     760";"    1850";"    1750";"       ."
"Apartment";"Overijssel (PV)";"2015";"     860";"    2110";"";"       ."
"Apartment";"Overijssel (PV)";"2016";"     850";"    2030";"";"       ."
"Apartment";"Overijssel (PV)";"2017";"     820";"    2000";"";""
"Apartment";"Overijssel (PV)";"2018";"     810";"    1960";"";"       ."
"Apartment";"Overijssel (PV)";"2019";"     740";"    1920";"";""
"Apartment";"Overijssel (PV)";"2020";"     750";"    1970";"";"       ."
"Apartment";"Overijssel (PV)";"2021";"     870";"    2030";"    1970";"       ."
"Apartment";"Overijssel (PV)";"2022*";"     700";"    1960";"    1870";"       ."
"Apartment";"Flevoland (PV)";"2015";"     410";"    2160";"";"       ."
"Apartment";"Flevoland (PV)";"2016";"     450";"    2100";"";"       ."
"Apartment";"Flevoland (PV)";"2017";"     440";"    2070";"";""
"Apartment";"Flevoland (PV)";"2018";"     430";"    2040";"";"       ."
"Apartment";"Flevoland (PV)";"2019";"     400";"    1980";"";""
"Apartment";"Flevoland (PV)";"2020";"     410";"    2060";"";"       ."
"Apartment";"Flevoland (PV)";"2021";"     460";"    2070";"    2030";"       ."
"Apartment";"Flevoland (PV)";"2022*";"     370";"    2000";"    1950";"       ."
"Apartment";"Gelderland (PV)";"2015";"     910";"    2140";"";"       ."
"Apartment";"Gelderland (PV)";"2016";"     920";"    2040";"";"       ."
"Apartment";"Gelderland (PV)";"2017";"     890";"    2000";"";""
"Apartment";"Gelderland (PV)";"2018";"     870";"    1960";"";"       ."
"Apartment";"Gelderland (PV)";"2019";"     800";"    1930";"";""
"Apartment";"Gelderland (PV)";"2020";"     790";"    2010";"";"       ."
"Apartment";"Gelderland (PV)";"2021";"     890";"    2060";"    2000";"       ."
"Apartment";"Gelderland (PV)";"2022*";"     720";"    1980";"    1890";"       ."
"Apartment";"Utrecht (PV)";"2015";"     680";"    2150";"";"       ."
"Apartment";"Utrecht (PV)";"2016";"     730";"    2120";"";"       ."
"Apartment";"Utrecht (PV)";"2017";"     690";"    2090";"";""
"Apartment";"Utrecht (PV)";"2018";"     680";"    2050";"";"       ."
"Apartment";"Utrecht (PV)";"2019";"     630";"    1990";"";""
"Apartment";"Utrecht (PV)";"2020";"     630";"    2010";"";"       ."
"Apartment";"Utrecht (PV)";"2021";"     690";"    2070";"    2020";"       ."
"Apartment";"Utrecht (PV)";"2022*";"     550";"    1960";"    1900";"       ."
"Apartment";"Noord-Holland (PV)";"2015";"     860";"    2080";"";"       ."
"Apartment";"Noord-Holland (PV)";"2016";"     890";"    2040";"";"       ."
"Apartment";"Noord-Holland (PV)";"2017";"     850";"    2010";"";""
"Apartment";"Noord-Holland (PV)";"2018";"     840";"    1970";"";"       ."
"Apartment";"Noord-Holland (PV)";"2019";"     780";"    1920";"";""
"Apartment";"Noord-Holland (PV)";"2020";"     750";"    1960";"";"       ."
"Apartment";"Noord-Holland (PV)";"2021";"     840";"    2000";"    1970";"       ."
"Apartment";"Noord-Holland (PV)";"2022*";"     660";"    1900";"    1860";"       ."
"Apartment";"Zuid-Holland (PV)";"2015";"     860";"    2170";"";"       ."
"Apartment";"Zuid-Holland (PV)";"2016";"     890";"    2140";"";"       ."
"Apartment";"Zuid-Holland (PV)";"2017";"     850";"    2120";"";""
"Apartment";"Zuid-Holland (PV)";"2018";"     850";"    2090";"";"       ."
"Apartment";"Zuid-Holland (PV)";"2019";"     800";"    2050";"";""
"Apartment";"Zuid-Holland (PV)";"2020";"     770";"    2050";"";"       ."
"Apartment";"Zuid-Holland (PV)";"2021";"     860";"    2110";"    2090";"       ."
"Apartment";"Zuid-Holland (PV)";"2022*";"     680";"    2010";"    1980";"       ."
"Apartment";"Zeeland (PV)";"2015";"     850";"    1990";"";"       ."
"Apartment";"Zeeland (PV)";"2016";"     850";"    1920";"";"       ."
"Apartment";"Zeeland (PV)";"2017";"     810";"    1880";"";""
"Apartment";"Zeeland (PV)";"2018";"     820";"    1860";"";"       ."
"Apartment";"Zeeland (PV)";"2019";"     770";"    1820";"";""
"Apartment";"Zeeland (PV)";"2020";"     760";"    1840";"";"       ."
"Apartment";"Zeeland (PV)";"2021";"     850";"    1880";"    1810";"       ."
"Apartment";"Zeeland (PV)";"2022*";"     690";"    1810";"    1710";"       ."
"Apartment";"Noord-Brabant (PV)";"2015";"     760";"    2150";"";"       ."
"Apartment";"Noord-Brabant (PV)";"2016";"     780";"    2090";"";"       ."
"Apartment";"Noord-Brabant (PV)";"2017";"     750";"    2070";"";""
"Apartment";"Noord-Brabant (PV)";"2018";"     750";"    2050";"";"       ."
"Apartment";"Noord-Brabant (PV)";"2019";"     690";"    2010";"";""
"Apartment";"Noord-Brabant (PV)";"2020";"     690";"    2010";"";"       ."
"Apartment";"Noord-Brabant (PV)";"2021";"     750";"    2050";"    2010";"       ."
"Apartment";"Noord-Brabant (PV)";"2022*";"     600";"    1970";"    1910";"       ."
"Apartment";"Limburg (PV)";"2015";"     900";"    2100";"";"       ."
"Apartment";"Limburg (PV)";"2016";"     930";"    2050";"";"       ."
"Apartment";"Limburg (PV)";"2017";"     890";"    2040";"";""
"Apartment";"Limburg (PV)";"2018";"     880";"    2020";"";"       ."
"Apartment";"Limburg (PV)";"2019";"     830";"    1980";"";""
"Apartment";"Limburg (PV)";"2020";"     800";"    1980";"";"       ."
"Apartment";"Limburg (PV)";"2021";"     900";"    2020";"    1960";"       ."
"Apartment";"Limburg (PV)";"2022*";"     720";"    1960";"    1880";"       ."
"Owner-occupied house";"Groningen (PV)";"2015";"    1730";"    3250";"";"       ."
"Owner-occupied house";"Groningen (PV)";"2016";"    1820";"    3160";"";"       ."
"Owner-occupied house";"Groningen (PV)";"2017";"    1710";"    3060";"";""
"Owner-occupied house";"Groningen (PV)";"2018";"    1740";"    2990";"";"       ."
"Owner-occupied house";"Groningen (PV)";"2019";"    1570";"    2870";"";""
"Owner-occupied house";"Groningen (PV)";"2020";"    1530";"    2960";"";"       ."
"Owner-occupied house";"Groningen (PV)";"2021";"    1720";"    3030";"    2380";"       ."
"Owner-occupied house";"Groningen (PV)";"2022*";"    1330";"    2840";"    1970";"       ."
"Owner-occupied house";"Fryslân (PV)";"2015";"    1640";"    3130";"";"       ."
"Owner-occupied house";"Fryslân (PV)";"2016";"    1720";"    3010";"";"       ."
"Owner-occupied house";"Fryslân (PV)";"2017";"    1620";"    2910";"";""
"Owner-occupied house";"Fryslân (PV)";"2018";"    1660";"    2820";"";"       ."
"Owner-occupied house";"Fryslân (PV)";"2019";"    1520";"    2910";"";""
"Owner-occupied house";"Fryslân (PV)";"2020";"    1470";"    3020";"";"       ."
"Owner-occupied house";"Fryslân (PV)";"2021";"    1650";"    3090";"    2510";"       ."
"Owner-occupied house";"Fryslân (PV)";"2022*";"    1280";"    2910";"    2110";"       ."
"Owner-occupied house";"Drenthe (PV)";"2015";"    1780";"    3510";"";"       ."
"Owner-occupied house";"Drenthe (PV)";"2016";"    1880";"    3440";"";"       ."
"Owner-occupied house";"Drenthe (PV)";"2017";"    1790";"    3360";"";""
"Owner-occupied house";"Drenthe (PV)";"2018";"    1800";"    3290";"";"       ."
"Owner-occupied house";"Drenthe (PV)";"2019";"    1640";"    3170";"";""
"Owner-occupied house";"Drenthe (PV)";"2020";"    1570";"    3210";"";"       ."
"Owner-occupied house";"Drenthe (PV)";"2021";"    1760";"    3290";"    2620";"       ."
"Owner-occupied house";"Drenthe (PV)";"2022*";"    1370";"    3110";"    2220";"       ."
"Owner-occupied house";"Overijssel (PV)";"2015";"    1600";"    3610";"";"       ."
"Owner-occupied house";"Overijssel (PV)";"2016";"    1660";"    3530";"";"       ."
"Owner-occupied house";"Overijssel (PV)";"2017";"    1620";"    3460";"";""
"Owner-occupied house";"Overijssel (PV)";"2018";"    1620";"    3390";"";"       ."
"Owner-occupied house";"Overijssel (PV)";"2019";"    1470";"    3270";"";""
"Owner-occupied house";"Overijssel (PV)";"2020";"    1400";"    3310";"";"       ."
"Owner-occupied house";"Overijssel (PV)";"2021";"    1620";"    3390";"    2840";"       ."
"Owner-occupied house";"Overijssel (PV)";"2022*";"    1270";"    3190";"    2420";"       ."
"Owner-occupied house";"Flevoland (PV)";"2015";"     860";"    3640";"";"       ."
"Owner-occupied house";"Flevoland (PV)";"2016";"     940";"    3470";"";"       ."
"Owner-occupied house";"Flevoland (PV)";"2017";"     910";"    3360";"";""
"Owner-occupied house";"Flevoland (PV)";"2018";"     910";"    3240";"";"       ."
"Owner-occupied house";"Flevoland (PV)";"2019";"     840";"    3270";"";""
"Owner-occupied house";"Flevoland (PV)";"2020";"     830";"    3360";"";"       ."
"Owner-occupied house";"Flevoland (PV)";"2021";"     930";"    3400";"    2890";"       ."
"Owner-occupied house";"Flevoland (PV)";"2022*";"     730";"    3200";"    2480";"       ."
"Owner-occupied house";"Gelderland (PV)";"2015";"    1600";"    3590";"";"       ."
"Owner-occupied house";"Gelderland (PV)";"2016";"    1660";"    3470";"";"       ."
"Owner-occupied house";"Gelderland (PV)";"2017";"    1610";"    3370";"";""
"Owner-occupied house";"Gelderland (PV)";"2018";"    1600";"    3260";"";"       ."
"Owner-occupied house";"Gelderland (PV)";"2019";"    1470";"    3270";"";""
"Owner-occupied house";"Gelderland (PV)";"2020";"    1390";"    3350";"";"       ."
"Owner-occupied house";"Gelderland (PV)";"2021";"    1570";"    3400";"    2840";"       ."
"Owner-occupied house";"Gelderland (PV)";"2022*";"    1230";"    3200";"    2450";"       ."
"Owner-occupied house";"Utrecht (PV)";"2015";"    1380";"    3490";"";"       ."
"Owner-occupied house";"Utrecht (PV)";"2016";"    1430";"    3430";"";"       ."
"Owner-occupied house";"Utrecht (PV)";"2017";"    1370";"    3360";"";""
"Owner-occupied house";"Utrecht (PV)";"2018";"    1360";"    3280";"";"       ."
"Owner-occupied house";"Utrecht (PV)";"2019";"    1260";"    3160";"";""
"Owner-occupied house";"Utrecht (PV)";"2020";"    1200";"    3200";"";"       ."
"Owner-occupied house";"Utrecht (PV)";"2021";"    1360";"    3300";"    2890";"       ."
"Owner-occupied house";"Utrecht (PV)";"2022*";"    1060";"    3070";"    2500";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2015";"    1390";"    3300";"";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2016";"    1430";"    3210";"";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2017";"    1370";"    3140";"";""
"Owner-occupied house";"Noord-Holland (PV)";"2018";"    1380";"    3070";"";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2019";"    1280";"    3040";"";""
"Owner-occupied house";"Noord-Holland (PV)";"2020";"    1210";"    3080";"";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2021";"    1380";"    3160";"    2830";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2022*";"    1070";"    2940";"    2500";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2015";"    1280";"    3330";"";"       ."
